wake_forward_response,doppler_forward_response
-9.962734503983703416e-01,1.031622087398486043e+00
-5.230832214724173701e-01,6.927851672533091865e-01
-9.491012385071703750e-02,3.307986246561358534e-01
-2.595034932485048434e-02,2.216741937482989422e-01
-4.485437576007261090e-02,1.901867021260858770e-01
-3.369233512275529845e-03,1.196862541455233908e-01
-8.881781032381349528e-01,9.778555507238729794e-01
-4.546864563579253726e-01,6.461091595132483212e-01
-7.852578450997059478e-02,3.067380483933378477e-01
-2.094333552005485724e-02,2.060464121760283984e-01
-3.889551543644314407e-02,1.754172403582821838e-01
-2.901246167416459722e-03,1.102945573127295242e-01
-7.242078225919983403e-01,9.171527605649630877e-01
-3.741826536472275255e-01,6.161681192727571643e-01
-6.009497951882541988e-02,2.855715265172285577e-01
-1.567809437155038427e-02,1.911249242385431868e-01
-3.132489760157276121e-02,1.618443080595653449e-01
-2.365980562371227443e-03,1.015300623617567677e-01
