zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.601870762041878449e-01,3.000000000000000000e+01,8.887366937245254339e-02,-9.042497505148626089e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.601870762041878449e-01,5.000000000000000000e+01,3.351493371458449944e-02,9.981259580337950577e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.601870762041878449e-01,7.000000000000000000e+01,1.970679252689470570e-02,1.862287285478146778e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.601870762041878449e-01,9.000000000000000000e+01,1.220618126431741342e-02,8.041635004378011944e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.601870762041878449e-01,1.100000000000000000e+02,1.374502620157638886e-03,3.365134200351397892e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.601870762041878449e-01,1.300000000000000000e+02,-2.110732932971301490e-03,5.929496572082717382e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557289921333618654e-01,3.000000000000000000e+01,8.841787473307448353e-02,-4.478787515629996732e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557289921333618654e-01,5.000000000000000000e+01,2.269302942058980602e-02,2.083175546155472454e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557289921333618654e-01,7.000000000000000000e+01,3.889490869658669952e-03,2.929293152390372804e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557289921333618654e-01,9.000000000000000000e+01,4.386752490460808090e-03,1.137269221635009984e-04
2.000000000000000111e-01,2.999999999999999889e-01,2.557289921333618654e-01,1.100000000000000000e+02,2.192029461150793619e-03,7.542337058936107932e-06
2.000000000000000111e-01,2.999999999999999889e-01,2.557289921333618654e-01,1.300000000000000000e+02,-9.717727673587125753e-04,-1.467864596258300043e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536610960120099567e-01,3.000000000000000000e+01,9.831894753720062108e-02,1.132748834540684042e-02
2.999999999999999889e-01,4.000000000000000222e-01,3.536610960120099567e-01,5.000000000000000000e+01,2.837636526447506399e-02,3.683266836247455107e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536610960120099567e-01,7.000000000000000000e+01,6.833961806662972038e-03,2.432727893636413112e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536610960120099567e-01,9.000000000000000000e+01,4.324270704538145556e-03,-5.496081605840854581e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.536610960120099567e-01,1.100000000000000000e+02,-1.521680391619126315e-03,-1.510892089740222205e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536610960120099567e-01,1.300000000000000000e+02,-4.621204184528201163e-03,-4.863649115650824258e-03
