noise_fraction,seed,state_sign,relative_F_error,relative_K_error,lambda
0.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,1.270424228737389305e-01,4.941908025903952903e-05,1.000000000000000062e-09
0.000000000000000000e+00,9.000000000000000000e+00,-1.000000000000000000e+00,7.548227096198782682e-02,1.935720322967099665e-04,1.000000000000000062e-09
1.000000000000000082e-05,9.000000000000000000e+00,1.000000000000000000e+00,1.270167421259836837e-01,4.951556704116445322e-05,1.000000000000000062e-09
1.000000000000000082e-05,9.000000000000000000e+00,-1.000000000000000000e+00,7.539780075393637260e-02,1.940655758225475955e-04,1.000000000000000062e-09
1.000000000000000082e-05,1.700000000000000000e+01,1.000000000000000000e+00,1.272565622088982773e-01,4.983716467898813540e-05,1.000000000000000062e-09
1.000000000000000082e-05,1.700000000000000000e+01,-1.000000000000000000e+00,7.396749036130388644e-02,1.935302338593555989e-04,1.000000000000000062e-09
1.000000000000000082e-05,3.100000000000000000e+01,1.000000000000000000e+00,1.270701319557066000e-01,4.939070352479070367e-05,1.000000000000000062e-09
1.000000000000000082e-05,3.100000000000000000e+01,-1.000000000000000000e+00,7.675252974887257496e-02,1.931901269556225676e-04,1.000000000000000062e-09
1.000000000000000048e-04,9.000000000000000000e+00,1.000000000000000000e+00,1.281335485281724917e-01,7.483204570111608666e-05,3.162277660168379522e-09
1.000000000000000048e-04,9.000000000000000000e+00,-1.000000000000000000e+00,7.464638878929660826e-02,2.011334069598945623e-04,1.000000000000000062e-09
1.000000000000000048e-04,1.700000000000000000e+01,1.000000000000000000e+00,1.297998305154062504e-01,8.321002856844610920e-05,3.162277660168379522e-09
1.000000000000000048e-04,1.700000000000000000e+01,-1.000000000000000000e+00,6.145207879132639356e-02,1.994656091382647468e-04,1.000000000000000062e-09
1.000000000000000048e-04,3.100000000000000000e+01,1.000000000000000000e+00,1.273504089311120469e-01,5.450055417646027200e-05,1.000000000000000062e-09
1.000000000000000048e-04,3.100000000000000000e+01,-1.000000000000000000e+00,8.881193697808370535e-02,1.914023271285440015e-04,1.000000000000000062e-09
1.000000000000000021e-03,9.000000000000000000e+00,1.000000000000000000e+00,1.447208176931985835e-01,4.212877002734602655e-04,9.999999999999999547e-08
1.000000000000000021e-03,9.000000000000000000e+00,-1.000000000000000000e+00,9.338856522994051779e-02,5.715119192339933102e-04,3.162277660168379522e-09
1.000000000000000021e-03,1.700000000000000000e+01,1.000000000000000000e+00,1.292076963481931795e-01,4.275126197289364719e-04,3.162277660168379191e-08
1.000000000000000021e-03,1.700000000000000000e+01,-1.000000000000000000e+00,1.668239055922396685e-01,6.596969210516987576e-04,3.162277660168379522e-09
1.000000000000000021e-03,3.100000000000000000e+01,1.000000000000000000e+00,1.335218368186518179e-01,3.104875059926581163e-04,3.162277660168379191e-08
1.000000000000000021e-03,3.100000000000000000e+01,-1.000000000000000000e+00,2.170151671242692704e-01,3.137438921680685429e-04,1.000000000000000062e-09
3.000000000000000062e-03,9.000000000000000000e+00,1.000000000000000000e+00,1.662519457014501600e-01,1.023265510660986135e-03,3.162277660168379191e-07
3.000000000000000062e-03,9.000000000000000000e+00,-1.000000000000000000e+00,6.229229116287792190e-01,1.787720512425727088e-03,3.162277660168379191e-08
3.000000000000000062e-03,1.700000000000000000e+01,1.000000000000000000e+00,1.354950344126817918e-01,1.119834453704408568e-03,9.999999999999999547e-08
3.000000000000000062e-03,1.700000000000000000e+01,-1.000000000000000000e+00,8.112148002557879600e-01,2.293494435079290392e-03,9.999999999999999547e-08
3.000000000000000062e-03,3.100000000000000000e+01,1.000000000000000000e+00,1.935938392797795782e-01,9.343740114818631717e-04,3.162277660168379191e-07
3.000000000000000062e-03,3.100000000000000000e+01,-1.000000000000000000e+00,2.517173828453619366e-01,7.751412634340772026e-04,1.000000000000000062e-09
1.000000000000000021e-02,9.000000000000000000e+00,1.000000000000000000e+00,2.912668525612629455e-01,3.405706054080269874e-03,3.162277660168379191e-06
1.000000000000000021e-02,9.000000000000000000e+00,-1.000000000000000000e+00,6.868990270405241905e-01,3.806355408865716005e-03,9.999999999999999547e-08
1.000000000000000021e-02,1.700000000000000000e+01,1.000000000000000000e+00,1.842514375334053933e-01,3.547379374912535722e-03,3.162277660168379191e-07
1.000000000000000021e-02,1.700000000000000000e+01,-1.000000000000000000e+00,3.926585039631869112e-01,8.269206479022373282e-03,9.999999999999999124e-06
1.000000000000000021e-02,3.100000000000000000e+01,1.000000000000000000e+00,9.367611627854720568e-01,5.356618078430717272e-03,3.162277660168379394e-04
1.000000000000000021e-02,3.100000000000000000e+01,-1.000000000000000000e+00,3.663033773114979796e-01,2.469190200598805809e-03,1.000000000000000062e-09
