zlo,zhi,z_effective,s_Mpc_over_h,wake_shape,standard_linked_shape,standard_linked_no_bd_shape
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,3.000000000000000000e+01,-1.000000000000000000e+00,4.610313295858027849e-01,9.401481823006417882e-01
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,5.000000000000000000e+01,-5.287827894716129462e-01,3.084736272266278001e-01,6.471998991719729588e-01
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,7.000000000000000000e+01,-7.631013810954745402e-02,1.455454925585155379e-01,3.097653349903455866e-01
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,9.000000000000000000e+01,-2.316642663013841752e-02,1.080885395817568623e-01,2.217714273993814933e-01
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,1.100000000000000000e+02,-5.395732693641303035e-02,9.002266507256083405e-02,1.887359023880535447e-01
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,1.300000000000000000e+02,-5.016402253241558466e-03,5.416437824894811820e-02,1.177973746430254764e-01
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,3.000000000000000000e+01,-7.760452003881861405e-01,3.597600964997294537e-01,8.123647137700789056e-01
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,5.000000000000000000e+01,-4.098271767997404558e-01,2.393198762721651107e-01,5.592987404836672338e-01
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,7.000000000000000000e+01,-5.895812622650187934e-02,1.125764309403326363e-01,2.677028140171915371e-01
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,9.000000000000000000e+01,-1.845463438866355374e-02,8.423716679371992533e-02,1.916233045646953403e-01
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,1.100000000000000000e+02,-4.250464927969016538e-02,6.984885595076903431e-02,1.630945434300833108e-01
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,1.300000000000000000e+02,-4.233118079678879070e-03,4.170029886303119188e-02,1.018074191065027612e-01
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,3.000000000000000000e+01,-6.068734609210831854e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,5.000000000000000000e+01,-3.203507238724762063e-01,6.939130987146180374e-01,6.939130987146180374e-01
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,7.000000000000000000e+01,-4.622155345301846852e-02,3.334067781708542899e-01,3.334067781708542899e-01
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,9.000000000000000000e+01,-1.492504114418075414e-02,2.362765148275010052e-01,2.362765148275010052e-01
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,1.100000000000000000e+02,-3.373630587596268549e-02,2.023001375479334119e-01,2.023001375479334119e-01
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,1.300000000000000000e+02,-3.590842682898660702e-03,1.275128717776801424e-01,1.275128717776801424e-01
