zlo,zhi,z_effective,s_Mpc_over_h,wake_shape,standard_linked_shape,standard_odd_windowed_shape,even_to_odd_window_leakage_raw
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,3.000000000000000000e+01,-1.000000000000000000e+00,4.673537971982338890e-01,4.611459011667219388e-01,-9.888822291757832323e-05
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,5.000000000000000000e+01,-5.347867797758251163e-01,3.271224053314265579e-01,3.107614450453697885e-01,-3.508276785951771687e-05
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,7.000000000000000000e+01,-7.906990425856870452e-02,1.673171877632377014e-01,1.466446703141785768e-01,1.700875276142606917e-05
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,9.000000000000000000e+01,-2.230827592811758173e-02,1.197377733763305696e-01,1.081454849545989971e-01,3.076967098865394727e-06
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,1.100000000000000000e+02,-5.420381299885256715e-02,9.622826094375162842e-02,9.054101221281031509e-02,-7.836179656691649343e-06
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,1.300000000000000000e+02,-5.959145935894516292e-03,6.060406911776788225e-02,5.469623272319906054e-02,1.672471992978508468e-06
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,3.000000000000000000e+01,-7.760682095586719509e-01,3.464124693775167962e-01,3.598668134540128904e-01,-1.245897280696777441e-04
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,5.000000000000000000e+01,-4.147776513810630949e-01,2.497674100600691671e-01,2.412145428063608155e-01,-3.797693696578062798e-05
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,7.000000000000000000e+01,-6.125736898517997880e-02,1.306094664897593238e-01,1.134845936540259531e-01,1.608299697445101650e-05
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,9.000000000000000000e+01,-1.772673132029374543e-02,9.379325364140447818e-02,8.428213816956067750e-02,3.633531680088451586e-06
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,1.100000000000000000e+02,-4.272625599982017575e-02,7.369849361011140965e-02,7.031068614617239088e-02,-8.751042985083083044e-06
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,1.300000000000000000e+02,-5.096180948164737330e-03,4.746334953251687971e-02,4.218126140560382598e-02,3.171202067490118887e-06
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,3.000000000000000000e+01,-6.069428093575607308e-01,1.000000000000000000e+00,1.000000000000000000e+00,-2.493255153995993035e-04
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,5.000000000000000000e+01,-3.245282584132384573e-01,7.335518185870226748e-01,6.993663076411704704e-01,-8.578112019325977492e-05
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,7.000000000000000000e+01,-4.816303034083633389e-02,3.853564247426029543e-01,3.364707124216285150e-01,4.279229006417461731e-05
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,9.000000000000000000e+01,-1.429824304616972470e-02,2.626480975519687733e-01,2.365176513400412406e-01,8.744867796743702954e-06
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,1.100000000000000000e+02,-3.393940585721913483e-02,2.162276676434201905e-01,2.035151950080602290e-01,-1.779827614719130016e-05
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,1.300000000000000000e+02,-4.401728795661524231e-03,1.435998440351191341e-01,1.292664722387204257e-01,4.914242538614529430e-06
