zlo,zhi,z_effective,s_Mpc_over_h,wake_windowed_shape,standard_odd_windowed_shape,standard_total_windowed_shape,even_to_odd_window_leakage_raw,wake_windowed_raw,standard_odd_windowed_raw,standard_total_windowed_raw,wake_to_xi3_raw,standard_odd_to_xi3_raw,even_to_xi3_window_leakage_raw,standard_total_xi3_raw
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,3.000000000000000000e+01,-1.000000000000000000e+00,4.611459011667219388e-01,4.673537971982338890e-01,-9.888822291757832323e-05,-5.452133930195052214e-02,1.309994483387298594e-03,1.211106260469720216e-03,-8.510265643714678605e-06,1.146335552914561026e-07,-1.490015664673543693e-05,-1.478552309144398010e-05
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,5.000000000000000000e+01,-5.347867797758251163e-01,3.107614450453697885e-01,3.271224053314265579e-01,-3.508276785951771687e-05,-2.915729147435525137e-02,8.827917100182982365e-04,8.477089421587805399e-04,-9.561032093435587408e-05,1.734754189178132347e-06,6.907892789907387814e-06,8.642646979085519314e-06
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,7.000000000000000000e+01,-7.906990425856870452e-02,1.466446703141785768e-01,1.673171877632377014e-01,1.700875276142606917e-05,-4.310997078654166953e-03,4.165790233496409435e-04,4.335877761110669957e-04,-5.541343348175312345e-05,1.129080674625058970e-06,1.316397234532829010e-05,1.429305301995334865e-05
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,9.000000000000000000e+01,-2.230827592811758173e-02,1.081454849545989971e-01,1.197377733763305696e-01,3.076967098865394727e-06,-1.216277081118433785e-03,3.072129413605037204e-04,3.102899084593690885e-04,1.915371717146284572e-05,9.185074161306609540e-08,1.161656326991370115e-06,1.253507068604436105e-06
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,1.100000000000000000e+02,-5.420381299885256715e-02,9.054101221281031509e-02,9.622826094375162842e-02,-7.836179656691649343e-06,-2.955264479969917091e-03,2.572032543691678838e-04,2.493670747124762362e-04,-8.842839126068561504e-06,7.937441416143166261e-07,-1.800334169753274351e-06,-1.006590028138957725e-06
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,1.300000000000000000e+02,-5.959145935894516292e-03,5.469623272319906054e-02,6.060406911776788225e-02,1.672471992978508468e-06,-3.249006175207444285e-04,1.553776428418340177e-04,1.570501148348125260e-04,-3.364675293184264269e-05,9.983200681021187061e-07,8.615598426626025901e-07,1.859879910764721190e-06
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,3.000000000000000000e+01,-7.760682095586719509e-01,3.598668134540128904e-01,3.464124693775167962e-01,-1.245897280696777441e-04,-4.231227817480559539e-02,1.022287174593112732e-03,8.976974465234350154e-04,-6.057492514995173690e-06,9.356111401572221836e-08,-1.740984016264938114e-06,-1.647422902249215896e-06
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,5.000000000000000000e+01,-4.147776513810630949e-01,2.412145428063608155e-01,2.497674100600691671e-01,-3.797693696578062798e-05,-2.261423306581308856e-02,6.852272124497960949e-04,6.472502754840154127e-04,-8.597821759549604701e-05,1.574503739431090888e-06,1.365953164233451666e-05,1.523403538176560733e-05
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,7.000000000000000000e+01,-6.125736898517997880e-02,1.134845936540259531e-01,1.306094664897593238e-01,1.608299697445101650e-05,-3.339833799185778270e-03,3.223799479949739956e-04,3.384629449694250155e-04,-5.056894682982811782e-05,1.023842393599599575e-06,1.150681337675148500e-05,1.253065577035108373e-05
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,9.000000000000000000e+01,-1.772673132029374543e-02,8.428213816956067750e-02,9.379325364140447818e-02,3.633531680088451586e-06,-9.664851330282485734e-04,2.394234357735154726e-04,2.430569674536039212e-04,1.705242027652827566e-05,7.562221477584538257e-08,1.963070851013115595e-06,2.038693065788961004e-06
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,1.100000000000000000e+02,-4.272625599982017575e-02,7.031068614617239088e-02,7.369849361011140965e-02,-8.751042985083083044e-06,-2.329492700468195013e-03,1.997342072034627436e-04,1.909831642183796555e-04,-8.113389883931697218e-06,7.375671088252179819e-07,-2.543475852450878123e-06,-1.805908743625660035e-06
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,1.300000000000000000e+02,-5.096180948164737330e-03,4.218126140560382598e-02,4.746334953251687971e-02,3.171202067490118887e-06,-2.778506106190255622e-04,1.198258937222581449e-04,1.229970957897482732e-04,-3.328701828789547805e-05,9.739476873638760202e-07,3.118815992134040519e-06,4.092763679497916540e-06
