wake_mean,doppler_mean,wake_std,doppler_std
-9.901396586324372473e-01,1.025403225099267512e+00,1.334373364298130533e-02,1.386892825729068961e-02
-5.171598356205299174e-01,6.848739977695957881e-01,7.784547413659036880e-03,1.022291258071834387e-02
-9.381100474723244598e-02,3.250680609097117424e-01,1.333837159376778094e-03,4.421405030767627808e-03
-2.595458474064899629e-02,2.212608000265894326e-01,3.189159791279653025e-04,2.535439037615713070e-03
-4.495068317201521280e-02,1.905524773447610232e-01,5.101974020942831025e-04,2.155975140486278072e-03
-3.338027283497277224e-03,1.207349820597650308e-01,5.845304731826230914e-05,1.203216254493871731e-03
-8.788187640032716352e-01,9.676130490558934039e-01,7.754724596511931162e-03,8.537167745816268138e-03
-4.500413433387920881e-01,6.396099048965311340e-01,3.247120286385699918e-03,4.658479594009195222e-03
-7.715002375718552075e-02,3.019437161369333822e-01,7.427108462859207316e-04,2.780614681163597144e-03
-2.068908325397271486e-02,2.038532596296462607e-01,1.651598716027196680e-04,1.683197807122036082e-03
-3.847392257334495552e-02,1.735461883177266962e-01,2.889063247833808146e-04,1.289230077084533134e-03
-2.844938736367380247e-03,1.092542246953826790e-01,3.562319680483581609e-05,6.573651868817689901e-04
-7.260880986187496777e-01,9.195939260725997100e-01,4.840734000739593465e-03,6.079757066954559822e-03
-3.700123812040477800e-01,6.096524457710512657e-01,3.255744761494300862e-03,5.275672820837021965e-03
-5.999171673486727863e-02,2.850871071247032540e-01,5.153151483512862473e-04,2.203993886997040064e-03
-1.566193380381103104e-02,1.908841670865505658e-01,1.067444677775384042e-04,1.304359827732944847e-03
-3.127192866199302729e-02,1.615478794114312833e-01,1.782050012333689221e-04,9.229052872948639115e-04
-2.367819907869594346e-03,1.007696069297987079e-01,2.035764792633357271e-05,6.726666356724590474e-04
