wake_forward_response,doppler_forward_response
-9.804719462282135423e-01,1.016046446347403043e+00
-5.240868154502750231e-01,6.936439583816698118e-01
-9.484753255582781262e-02,3.279660722873601331e-01
-2.615489870714483162e-02,2.230101671399121188e-01
-4.531248530896694882e-02,1.921652673706614745e-01
-3.361012582189534456e-03,1.220378326443479211e-01
-8.740653218776076594e-01,9.625418596984370856e-01
-4.446524485505218838e-01,6.325405496546318007e-01
-7.717513549405927153e-02,3.016133520460249073e-01
-2.066355603929036222e-02,2.039771352263933801e-01
-3.847496263370699110e-02,1.735400697107535029e-01
-2.811861157954289540e-03,1.096203704084277031e-01
-7.307139598247082146e-01,9.251968880802043937e-01
-3.727714360807111160e-01,6.139583792854763633e-01
-6.040455121906942310e-02,2.868101640509375105e-01
-1.563474378390711239e-02,1.907284759357351089e-01
-3.112800543420576882e-02,1.607933908756506713e-01
-2.360962954886633609e-03,1.004405301349007851e-01
