zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.598042740608948131e-01,3.000000000000000000e+01,1.016153942731010257e-01,1.606037517467335737e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.598042740608948131e-01,5.000000000000000000e+01,4.392111305210252836e-02,-5.764988323603940923e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.598042740608948131e-01,7.000000000000000000e+01,2.148468257828739861e-02,-4.035114114071614369e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.598042740608948131e-01,9.000000000000000000e+01,1.582578233276333429e-02,9.037241862984612267e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.598042740608948131e-01,1.100000000000000000e+02,1.303316806615907250e-02,1.042384471281939675e-04
1.000000000000000056e-01,2.000000000000000111e-01,1.598042740608948131e-01,1.300000000000000000e+02,-2.024008522547801354e-04,-1.324891072330838630e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554876362503002429e-01,3.000000000000000000e+01,9.868878528518063020e-02,1.298030351506376974e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554876362503002429e-01,5.000000000000000000e+01,2.900610326199621475e-02,4.640915221134490724e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554876362503002429e-01,7.000000000000000000e+01,1.012968074390615571e-02,4.498480136125852791e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554876362503002429e-01,9.000000000000000000e+01,1.072603273141806493e-02,-3.132123418182968400e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554876362503002429e-01,1.100000000000000000e+02,2.447452299629483252e-03,4.324610818006342376e-05
2.000000000000000111e-01,2.999999999999999889e-01,2.554876362503002429e-01,1.300000000000000000e+02,-5.597150575306362834e-03,-4.230978208719067026e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536419217673987259e-01,3.000000000000000000e+01,1.048502089259425729e-01,-6.577169710834269815e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536419217673987259e-01,5.000000000000000000e+01,2.847590840394467401e-02,1.112961056646610825e-02
2.999999999999999889e-01,4.000000000000000222e-01,3.536419217673987259e-01,7.000000000000000000e+01,1.221655307778769101e-02,-2.547733347129551174e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536419217673987259e-01,9.000000000000000000e+01,6.781405599495132254e-03,2.647117428066936545e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536419217673987259e-01,1.100000000000000000e+02,6.824365885751311478e-03,6.444663744847094373e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536419217673987259e-01,1.300000000000000000e+02,7.758956274070171518e-04,2.826712947749229245e-03
