wake_forward_response,doppler_forward_response
-1.009502410516362136e+00,1.045212072429681394e+00
-5.349597834894898041e-01,7.083315254133421002e-01
-9.570398267114475777e-02,3.331911827273829618e-01
-2.642705622748876479e-02,2.251788572689751300e-01
-4.566457909742949184e-02,1.936087693253722430e-01
-3.463078922899907180e-03,1.218838328999389264e-01
-8.853588123935174359e-01,9.751350047285290978e-01
-4.502727440012526672e-01,6.395960049164448602e-01
-7.665243642877175856e-02,3.009131165161938459e-01
-2.059753246600343202e-02,2.030355711393296292e-01
-3.843313422297840037e-02,1.732980808471626943e-01
-2.884114007226236225e-03,1.091914403327295668e-01
-7.266631054256275091e-01,9.198193330142420132e-01
-3.650788861025772158e-01,6.018335726855740253e-01
-5.975243088738750596e-02,2.832389655066993583e-01
-1.553198105101953781e-02,1.897482066818283741e-01
-3.104951614948529837e-02,1.603400265708214145e-01
-2.356759992008869951e-03,1.001125013959276305e-01
