zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.599392795468583262e-01,3.000000000000000000e+01,1.004203840160705491e-01,1.236863232275374437e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599392795468583262e-01,5.000000000000000000e+01,2.249366871302597645e-02,-1.235329426057559833e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.599392795468583262e-01,7.000000000000000000e+01,1.497972689496474864e-02,-2.139005656689369622e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.599392795468583262e-01,9.000000000000000000e+01,9.062430116509125055e-03,5.186039515810449835e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599392795468583262e-01,1.100000000000000000e+02,5.324590604324026723e-04,-6.448633355973227080e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599392795468583262e-01,1.300000000000000000e+02,3.158596383602123216e-03,2.915820344457749173e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.559021929716099875e-01,3.000000000000000000e+01,9.618420457341712859e-02,-8.622827749537839356e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.559021929716099875e-01,5.000000000000000000e+01,2.830488446027319693e-02,-1.556200951976316298e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.559021929716099875e-01,7.000000000000000000e+01,1.031878249173330715e-02,4.710954322513764662e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.559021929716099875e-01,9.000000000000000000e+01,2.577967641384927393e-03,-1.569801731151091936e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.559021929716099875e-01,1.100000000000000000e+02,-6.946431774907669806e-04,3.139324438897452430e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.559021929716099875e-01,1.300000000000000000e+02,-3.043680298405835195e-03,1.499404628087326911e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538010766785471550e-01,3.000000000000000000e+01,8.206467056364191714e-02,-7.090556892022997597e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538010766785471550e-01,5.000000000000000000e+01,1.855490279349504210e-02,-1.783778189831346575e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538010766785471550e-01,7.000000000000000000e+01,8.384234125806513602e-03,4.613746946239782876e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538010766785471550e-01,9.000000000000000000e+01,4.278098773037378177e-03,3.262392358521598937e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538010766785471550e-01,1.100000000000000000e+02,1.925561160562508714e-03,-7.367632174208002885e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538010766785471550e-01,1.300000000000000000e+02,2.472638794545308546e-03,-5.707490535986975248e-03
