zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd,permutation_null_mean,xi1_null_corrected,jackknife_sigma
1.000000000000000056e-01,2.000000000000000111e-01,1.600691661835973723e-01,3.000000000000000000e+01,7.469189005754305055e-02,2.191584540788196755e-02,-3.798149545811283119e-03,2.571399495369324981e-02,3.765046889567194577e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600691661835973723e-01,5.000000000000000000e+01,1.817620473654381688e-02,2.186985357075600656e-02,-2.276445331180026316e-03,2.414629890193603287e-02,2.760341046504925441e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600691661835973723e-01,7.000000000000000000e+01,-2.231348731050330266e-03,-2.815450511706523579e-02,-1.407866020928686540e-02,-1.407584490777837039e-02,1.773655893727834817e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600691661835973723e-01,9.000000000000000000e+01,3.391987836526604775e-04,6.203790889930809425e-03,3.926586410331395736e-03,2.277204479599413689e-03,1.169427863781519542e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600691661835973723e-01,1.100000000000000000e+02,7.674289799563506487e-03,2.509719488922428684e-03,3.884375275373146402e-03,-1.374655786450717718e-03,1.868713078359735685e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600691661835973723e-01,1.300000000000000000e+02,-1.097633757441345307e-03,-6.761319320193619892e-03,-1.150695718451276960e-02,4.745637864319149704e-03,1.747970677966504197e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554223929940896975e-01,3.000000000000000000e+01,8.073074160155233048e-02,-2.745551539241491892e-03,-9.319406283497977395e-03,6.573854744256485069e-03,1.573722335119830465e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554223929940896975e-01,5.000000000000000000e+01,3.613068262385307067e-02,-2.766323168229280986e-03,-6.455040138342168880e-03,3.688716970112887895e-03,1.233768577151710122e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554223929940896975e-01,7.000000000000000000e+01,8.203989894964560867e-03,-1.614234020061516015e-03,1.028266093478547374e-02,-1.189689495484698954e-02,1.161224876434490717e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554223929940896975e-01,9.000000000000000000e+01,8.044762943443172984e-03,8.374542453215937446e-03,4.798788530832907157e-03,3.575753922383030289e-03,9.047191309225429551e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554223929940896975e-01,1.100000000000000000e+02,1.113899239785291241e-03,-5.171763611722005743e-03,-2.968926955020895469e-03,-2.202836656701110275e-03,6.845712438828223216e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554223929940896975e-01,1.300000000000000000e+02,-1.616884456224247256e-03,-9.004083620649992736e-03,-1.131995508640259475e-02,2.315871465752602013e-03,4.570690284255554507e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537742081024006224e-01,3.000000000000000000e+01,8.361142836252158372e-02,1.741263836332813952e-02,1.713596763109750953e-02,2.766707322306299899e-04,1.395059776125160377e-02
2.999999999999999889e-01,4.000000000000000222e-01,3.537742081024006224e-01,5.000000000000000000e+01,2.201261052926450218e-02,6.671332226007492538e-03,4.277392991553037246e-03,2.393939234454455292e-03,9.788321266069991561e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537742081024006224e-01,7.000000000000000000e+01,7.516139066210888141e-03,-4.200767683725062894e-03,-2.122743506403502317e-03,-2.078024177321560577e-03,6.724715804682924493e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537742081024006224e-01,9.000000000000000000e+01,4.790572936042504677e-03,4.680956662984867532e-03,2.937252525447917387e-03,1.743704137536950145e-03,4.393124351538743415e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537742081024006224e-01,1.100000000000000000e+02,2.487100308249623210e-03,-1.591475906385569428e-03,-1.645341548023823621e-03,5.386564163825419312e-05,5.696839159109755302e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537742081024006224e-01,1.300000000000000000e+02,-4.260164440074363764e-04,-6.144827448026310771e-03,-3.846846013456678166e-03,-2.297981434569632605e-03,6.433274716309031298e-03
