zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd,permutation_null_mean,xi1_null_corrected,jackknife_sigma
1.000000000000000056e-01,2.000000000000000111e-01,1.600691661835973723e-01,3.000000000000000000e+01,7.469189005754305055e-02,2.191584540788196755e-02,-3.477481636934023467e-03,2.539332704481599146e-02,3.765046889567194577e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600691661835973723e-01,5.000000000000000000e+01,1.817620473654381688e-02,2.186985357075600656e-02,-3.674430448302878774e-04,2.223729661558629389e-02,2.760341046504925441e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600691661835973723e-01,7.000000000000000000e+01,-2.231348731050330266e-03,-2.815450511706523579e-02,-1.465111762855474120e-02,-1.350338748851049459e-02,1.773655893727834817e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600691661835973723e-01,9.000000000000000000e+01,3.391987836526604775e-04,6.203790889930809425e-03,7.318530209397197672e-03,-1.114739319466388247e-03,1.169427863781519542e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600691661835973723e-01,1.100000000000000000e+02,7.674289799563506487e-03,2.509719488922428684e-03,4.483133232609138805e-03,-1.973413743686710121e-03,1.868713078359735685e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600691661835973723e-01,1.300000000000000000e+02,-1.097633757441345307e-03,-6.761319320193619892e-03,-1.033070901094858621e-02,3.569389690754966316e-03,1.747970677966504197e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554223929940896975e-01,3.000000000000000000e+01,8.073074160155233048e-02,-2.745551539241491892e-03,-7.781816912992895255e-03,5.036265373751402930e-03,1.573722335119830465e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554223929940896975e-01,5.000000000000000000e+01,3.613068262385307067e-02,-2.766323168229280986e-03,-8.914085307839268377e-03,6.147762139609987825e-03,1.233768577151710122e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554223929940896975e-01,7.000000000000000000e+01,8.203989894964560867e-03,-1.614234020061516015e-03,7.721449657526791716e-03,-9.335683677588307514e-03,1.161224876434490717e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554223929940896975e-01,9.000000000000000000e+01,8.044762943443172984e-03,8.374542453215937446e-03,5.226094988623043378e-03,3.148447464592894068e-03,9.047191309225429551e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554223929940896975e-01,1.100000000000000000e+02,1.113899239785291241e-03,-5.171763611722005743e-03,-2.636393899417171279e-03,-2.535369712304834464e-03,6.845712438828223216e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554223929940896975e-01,1.300000000000000000e+02,-1.616884456224247256e-03,-9.004083620649992736e-03,-1.129648050586947762e-02,2.292396885219484884e-03,4.570690284255554507e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537742081024006224e-01,3.000000000000000000e+01,8.361142836252158372e-02,1.741263836332813952e-02,1.652526275968442884e-02,8.873756036437106809e-04,1.395059776125160377e-02
2.999999999999999889e-01,4.000000000000000222e-01,3.537742081024006224e-01,5.000000000000000000e+01,2.201261052926450218e-02,6.671332226007492538e-03,4.959835202913203712e-03,1.711497023094288826e-03,9.788321266069991561e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537742081024006224e-01,7.000000000000000000e+01,7.516139066210888141e-03,-4.200767683725062894e-03,-2.254726061162503313e-03,-1.946041622562559581e-03,6.724715804682924493e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537742081024006224e-01,9.000000000000000000e+01,4.790572936042504677e-03,4.680956662984867532e-03,2.519935871274562970e-03,2.161020791710304562e-03,4.393124351538743415e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537742081024006224e-01,1.100000000000000000e+02,2.487100308249623210e-03,-1.591475906385569428e-03,-1.230768844568507284e-03,-3.607070618170621443e-04,5.696839159109755302e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537742081024006224e-01,1.300000000000000000e+02,-4.260164440074363764e-04,-6.144827448026310771e-03,-4.104257053409919760e-03,-2.040570394616391010e-03,6.433274716309031298e-03
