sweep,value,projected_full_SN,unprojected_SN,after_wake_amplitude_SN,linear_predicted_full_SN
mass_eV,0.05,0.4251066322,1.3667771888,0.4949691861,0.4218244477
mass_eV,0.06,0.8605446904,3.1909820679,0.8980899219,0.8607548083
mass_eV,0.08,2.5753690246,7.6083440802,2.6445657973,2.5750137839
mass_eV,0.1,5.7915554325,14.4588687676,5.9472668502,5.7888567085
cap_fraction,0.1,0.2868704466,1.0645022577,0.2994207361,0.2869182694
cap_fraction,0.2,0.573710848,2.1272938675,0.598744609,0.5738365389
cap_fraction,0.3,0.8605446904,3.1909820679,0.8980899219,0.8607548083
kmax_h_Mpc,0.05,0.3432681,1.3437,0.40346,0.342556
kmax_h_Mpc,0.075,0.5862571,1.96213,0.69124,0.581477
kmax_h_Mpc,0.1,0.8605446904,3.1909820679,0.8980899219,0.8607548083
